Churn_Type,Key_Indicators,Recommended_Products,Retention_Offers,Preferred_Channel,AGE,CUS_Month_Income,CUS_Gender,CUS_Marital_Status
Low Engagement,"Low Engagement indicators like transaction patterns, complaints, or engagement","Personal finance tools, Reward accounts",Reward points,Mobile App,56,80000,Male,Divorced
Product Dissatisfaction,"Product Dissatisfaction indicators like transaction patterns, complaints, or engagement","Alternative financial products, Upgraded services",Cashback offers,Email,32,60000,Male,Widowed
Service Dissatisfied,"Service Dissatisfied indicators like transaction patterns, complaints, or engagement","Priority services, Concierge banking",Personalized investment tips,Branch,38,25000,Male,Married
Interest Rate Sensitive,"Interest Rate Sensitive indicators like transaction patterns, complaints, or engagement","High-yield savings, Fixed deposits",Dedicated RM support,Phone,36,15000,Female,Single
Competitor-Driven,"Competitor-Driven indicators like transaction patterns, complaints, or engagement","Competitive loan rates, Exclusive offers",Instant approvals,Mobile App,28,120000,Male,Divorced
Digital Enthusiast,"Digital Enthusiast indicators like transaction patterns, complaints, or engagement","Investment advisory tools, Robo-advisory",Cashback offers,Branch,53,15000,Female,Divorced
Low Engagement,"Low Engagement indicators like transaction patterns, complaints, or engagement","Reward accounts, Personal finance tools",Cashback offers,Mobile App,20,15000,Female,Divorced
Service Dissatisfied,"Service Dissatisfied indicators like transaction patterns, complaints, or engagement","Premium support package, Priority services",Instant approvals,Phone,19,60000,Female,Single
Dormant Account,"Dormant Account indicators like transaction patterns, complaints, or engagement","Engagement rewards, Zero balance accounts",Personalized investment tips,Phone,47,25000,Female,Married
Low Engagement,"Low Engagement indicators like transaction patterns, complaints, or engagement","Personal finance tools, Goal-based savings",Instant approvals,Phone,38,60000,Male,Married
Product Dissatisfaction,"Product Dissatisfaction indicators like transaction patterns, complaints, or engagement","Alternative financial products, Upgraded services",Waive monthly fees,Phone,39,15000,Male,Divorced
High Net Worth Attrition,"High Net Worth Attrition indicators like transaction patterns, complaints, or engagement","Wealth management, Private banking",Personalized investment tips,Branch,42,25000,Female,Single
High Net Worth Attrition,"High Net Worth Attrition indicators like transaction patterns, complaints, or engagement","Private banking, Wealth management",Personalized investment tips,SMS,59,15000,Female,Married
Product Dissatisfaction,"Product Dissatisfaction indicators like transaction patterns, complaints, or engagement","Upgraded services, Tailored insurance",Dedicated RM support,Email,33,25000,Female,Widowed
Competitor-Driven,"Competitor-Driven indicators like transaction patterns, complaints, or engagement","Competitive loan rates, Exclusive offers",Reward points,Email,64,60000,Female,Single
High Net Worth Attrition,"High Net Worth Attrition indicators like transaction patterns, complaints, or engagement","Private banking, Premium cards",Match competitor offers,SMS,61,40000,Male,Widowed
Fee Sensitive,"Fee Sensitive indicators like transaction patterns, complaints, or engagement","Basic credit card, Debit card cashback",Cashback offers,Phone,20,120000,Male,Divorced
High Net Worth Attrition,"High Net Worth Attrition indicators like transaction patterns, complaints, or engagement","Wealth management, Private banking",Reward points,SMS,24,25000,Male,Widowed
Low Engagement,"Low Engagement indicators like transaction patterns, complaints, or engagement","Personal finance tools, Goal-based savings",Reward points,SMS,56,15000,Female,Married
Product Dissatisfaction,"Product Dissatisfaction indicators like transaction patterns, complaints, or engagement","Tailored insurance, Alternative financial products",Cashback offers,Phone,42,200000,Male,Divorced
Credit-Seeking,"Credit-Seeking indicators like transaction patterns, complaints, or engagement","Credit cards, Low-interest EMI plans",Cashback offers,Branch,67,40000,Male,Single
Low Engagement,"Low Engagement indicators like transaction patterns, complaints, or engagement","Reward accounts, Goal-based savings",Reward points,Phone,43,15000,Male,Married
Product Dissatisfaction,"Product Dissatisfaction indicators like transaction patterns, complaints, or engagement","Upgraded services, Alternative financial products",Match competitor offers,Branch,37,25000,Female,Married
